               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083676,            0.022835,            0.083069,           0.0016738,             0.35505,           0.0026556,          0.00067046,            0.045675,            0.013954,            0.057904,           0.0033295,           0.0033295,            0.070034
                   1,            0.051692,            0.023844,            0.081248,           0.0021319,             0.62476,            0.010483,           0.0022752,            0.049505,            0.011179,              0.0564,           0.0065529,           0.0065529,            0.039925
                   2,            0.046552,            0.020021,            0.080079,           0.0070978,             0.86388,            0.045927,            0.013216,            0.040921,           0.0071447,            0.054527,           0.0096663,           0.0096663,           0.0097046
                   3,             0.04205,            0.017806,            0.078085,             0.47357,             0.29045,             0.18999,              0.1112,            0.023471,           0.0060374,             0.04715,            0.009505,            0.009505,            0.009505
                   4,            0.039208,            0.016316,            0.073122,             0.37632,             0.51837,             0.36561,             0.17519,            0.025393,           0.0053608,             0.03855,            0.009505,            0.009505,            0.009505
                   5,             0.03766,            0.015301,             0.06682,             0.54174,             0.67735,             0.59556,             0.32894,            0.022246,           0.0049596,             0.02953,             0.00934,             0.00934,             0.00934
                   6,             0.03697,            0.014794,            0.061522,             0.62128,             0.77664,             0.73776,             0.49471,            0.019129,            0.004831,               0.023,            0.009175,            0.009175,            0.009175
                   7,            0.036064,            0.014288,            0.056703,             0.67186,             0.83121,              0.8117,             0.52847,            0.019238,           0.0046583,             0.01804,             0.00901,             0.00901,             0.00901
                   8,            0.035339,            0.013893,            0.053173,             0.76643,             0.86221,             0.89072,             0.54808,            0.020234,           0.0042624,            0.013935,            0.008845,            0.008845,            0.008845
                   9,             0.03476,            0.013704,            0.050455,             0.83262,              0.9108,             0.93109,             0.62033,            0.018802,            0.004096,            0.011336,             0.00868,             0.00868,             0.00868
                  10,            0.034087,            0.013362,            0.048122,             0.85418,             0.93939,             0.95646,             0.65281,            0.016933,           0.0039171,            0.009277,            0.008515,            0.008515,            0.008515
                  11,            0.033639,            0.013157,            0.045932,             0.89628,             0.94719,             0.97285,             0.68074,            0.016951,           0.0038351,           0.0075589,             0.00835,             0.00835,             0.00835
                  12,             0.03285,            0.012868,            0.044375,             0.88558,             0.95293,              0.9709,              0.6895,            0.016863,           0.0038767,           0.0065399,            0.008185,            0.008185,            0.008185
                  13,            0.032555,            0.012676,            0.042322,             0.95169,             0.96255,             0.97983,             0.73845,            0.014228,           0.0036856,           0.0052424,             0.00802,             0.00802,             0.00802
                  14,            0.031844,            0.012409,            0.041381,             0.96286,             0.96499,             0.98024,             0.71133,            0.015716,           0.0036742,           0.0046071,            0.007855,            0.007855,            0.007855
                  15,            0.031366,            0.012323,            0.039883,             0.97356,             0.96658,             0.98418,             0.74117,            0.014981,           0.0036126,             0.00362,             0.00769,             0.00769,             0.00769
